                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 5.3717,                0.00505,                0.02356,                 5.3376,             0.00023708,             0.00023708,             0.00023708
                      2,                 5.3244,                0.00817,                0.04399,                 5.3365,             0.00047038,             0.00047038,             0.00047038
                      3,                 5.2459,                0.01202,                0.05072,                 5.3359,             0.00069897,             0.00069897,             0.00069897
                      4,                 5.1516,                0.00649,                0.03726,                 5.3357,             0.00069279,             0.00069279,             0.00069279
                      5,                 5.0556,                0.01394,                0.07596,                 5.3338,             0.00068573,             0.00068573,             0.00068573
                      6,                 4.9623,                0.01562,                0.05745,                 5.3329,             0.00067866,             0.00067866,             0.00067866
                      7,                 4.8577,                0.02788,                0.14471,                 5.3281,             0.00067159,             0.00067159,             0.00067159
                      8,                  4.742,                0.04038,                0.16635,                 5.3227,             0.00066452,             0.00066452,             0.00066452
                      9,                 4.6524,                0.02284,                0.11923,                 5.3255,             0.00065745,             0.00065745,             0.00065745
                     10,                 4.5416,                0.05024,                0.20913,                 5.3173,             0.00065038,             0.00065038,             0.00065038
                     11,                 4.4701,                0.05048,                0.22115,                  5.317,             0.00064331,             0.00064331,             0.00064331
                     12,                 4.3736,                0.06899,                0.25721,                 5.3103,             0.00063625,             0.00063625,             0.00063625
                     13,                 4.2893,                0.09952,                0.33582,                 5.3002,             0.00062918,             0.00062918,             0.00062918
                     14,                 4.1271,                0.11731,                0.39519,                 5.2917,             0.00062211,             0.00062211,             0.00062211
                     15,                 4.0221,                0.12572,                 0.4125,                 5.2862,             0.00061504,             0.00061504,             0.00061504
                     16,                 3.8905,                0.14495,                0.49014,                 5.2669,             0.00060797,             0.00060797,             0.00060797
                     17,                 3.7986,                0.16442,                0.51082,                 5.2606,              0.0006009,              0.0006009,              0.0006009
                     18,                  3.678,                0.20529,                0.58005,                 5.2395,             0.00059383,             0.00059383,             0.00059383
                     19,                 3.5809,                 0.2238,                0.58918,                 5.2147,             0.00058677,             0.00058677,             0.00058677
                     20,                 3.4617,                0.26058,                0.62813,                 5.2072,              0.0005797,              0.0005797,              0.0005797
                     21,                 3.3733,                 0.2887,                0.63894,                 5.1865,             0.00057263,             0.00057263,             0.00057263
                     22,                 3.2913,                 0.3101,                0.68293,                 5.1637,             0.00056556,             0.00056556,             0.00056556
                     23,                 3.1847,                0.33798,                0.70601,                 5.1486,             0.00055849,             0.00055849,             0.00055849
                     24,                 3.1181,                0.34639,                0.70312,                 5.1435,             0.00055142,             0.00055142,             0.00055142
                     25,                 3.0485,                0.38606,                0.75457,                 5.1089,             0.00054435,             0.00054435,             0.00054435
                     26,                 2.9529,                0.36394,                0.74712,                 5.1114,             0.00053728,             0.00053728,             0.00053728
                     27,                 2.9047,                 0.3738,                0.74591,                  5.099,             0.00053022,             0.00053022,             0.00053022
                     28,                 2.8613,                 0.4262,                0.78221,                  5.057,             0.00052315,             0.00052315,             0.00052315
                     29,                 2.8331,                0.40673,                0.77837,                 5.0674,             0.00051608,             0.00051608,             0.00051608
                     30,                 2.7788,                0.42452,                0.78462,                 5.0374,             0.00050901,             0.00050901,             0.00050901
                     31,                 2.7067,                0.44495,                0.79736,                 5.0249,             0.00050194,             0.00050194,             0.00050194
                     32,                 2.6558,                0.47043,                0.80457,                 5.0023,             0.00049487,             0.00049487,             0.00049487
                     33,                 2.5877,                0.47596,                0.80505,                 5.0031,              0.0004878,              0.0004878,              0.0004878
                     34,                 2.5572,                0.48966,                0.81899,                 4.9783,             0.00048074,             0.00048074,             0.00048074
                     35,                 2.4968,                0.49062,                0.81587,                 4.9819,             0.00047367,             0.00047367,             0.00047367
                     36,                 2.4955,                0.49976,                0.82115,                 4.9709,              0.0004666,              0.0004666,              0.0004666
                     37,                 2.4268,                0.53606,                 0.8274,                 4.9394,             0.00045953,             0.00045953,             0.00045953
                     38,                 2.4049,                0.54087,                0.83365,                 4.9348,             0.00045246,             0.00045246,             0.00045246
                     39,                 2.4115,                0.55072,                0.83966,                 4.9224,             0.00044539,             0.00044539,             0.00044539
                     40,                 2.3441,                0.54639,                0.83389,                   4.92,             0.00043832,             0.00043832,             0.00043832
                     41,                 2.3437,                0.54375,                0.84062,                 4.9177,             0.00043126,             0.00043126,             0.00043126
                     42,                 2.2954,                0.55745,                0.84495,                 4.9101,             0.00042419,             0.00042419,             0.00042419
                     43,                  2.254,                0.56803,                0.85024,                 4.8919,             0.00041712,             0.00041712,             0.00041712
                     44,                 2.2399,                 0.5637,                0.84231,                 4.8854,             0.00041005,             0.00041005,             0.00041005
                     45,                 2.1834,                0.55577,                0.84591,                 4.8871,             0.00040298,             0.00040298,             0.00040298
                     46,                  2.155,                0.57692,                0.84928,                 4.8724,             0.00039591,             0.00039591,             0.00039591
                     47,                 2.1423,                0.58389,                0.84615,                 4.8578,             0.00038884,             0.00038884,             0.00038884
                     48,                 2.1482,                    0.6,                0.85625,                  4.856,             0.00038178,             0.00038178,             0.00038178
                     49,                 2.1033,                0.59663,                0.85337,                 4.8545,             0.00037471,             0.00037471,             0.00037471
                     50,                 2.1281,                0.60697,                0.85793,                 4.8492,             0.00036764,             0.00036764,             0.00036764
                     51,                 2.0656,                0.60817,                0.85625,                 4.8386,             0.00036057,             0.00036057,             0.00036057
                     52,                 2.1083,                0.61779,                0.86058,                 4.8223,              0.0003535,              0.0003535,              0.0003535
                     53,                 2.0212,                0.61442,                0.86538,                 4.8207,             0.00034643,             0.00034643,             0.00034643
                     54,                 2.0153,                0.62356,                0.86418,                  4.821,             0.00033936,             0.00033936,             0.00033936
                     55,                  2.019,                  0.625,                0.86442,                 4.8103,              0.0003323,              0.0003323,              0.0003323
                     56,                 1.9608,                0.63365,                0.86659,                 4.7973,             0.00032523,             0.00032523,             0.00032523
                     57,                 1.9828,                0.64087,                0.86683,                 4.7947,             0.00031816,             0.00031816,             0.00031816
                     58,                 1.9626,                0.63966,                0.86851,                 4.7966,             0.00031109,             0.00031109,             0.00031109
                     59,                 1.9338,                0.65625,                 0.8762,                  4.788,             0.00030402,             0.00030402,             0.00030402
                     60,                 1.9368,                0.65649,                0.87091,                 4.7856,             0.00029695,             0.00029695,             0.00029695
                     61,                 1.9104,                0.66106,                0.88029,                 4.7767,             0.00028988,             0.00028988,             0.00028988
